Ingredient // Month;1;2;3;4;5;6;7;8;9;10;11;12
Apple ;;;;;;;;x;x;x;;
Artichoke;;;;;x;x;x;x;x;x;;
Eggplant ;;;;;;x;x;x;x;x;;
Basil;;;;;x;x;x;x;x;x;;
Pear;;;;;;;x;x;x;x;;
Cauliflower;;;;;;x;x;x;x;x;;
Broccoli;;;;;;x;x;x;x;x;;
Blackberries;;;;;;;x;x;x;x;;
Butternut squash ;;;;;;;;;x;x;;
Mushrooms ;x;x;x;x;x;x;x;x;x;x;x;x
Napa Cabbage ;x;x;;;x;x;x;x;x;x;x;x
Napa ;x;x;;;x;x;x;x;x;x;x;x
Dicke Bohnen;;;;;;x;x;x;;;;
Dill;;;;;;;x;x;x;x;;
Iceberg lettuce;;;;;;;;;;x;;
Peas;;;;;;x;x;x;;;;
Strawberries;;;;;x;x;x;;;;;
Lamb's lettuce;;;;;;;;;;x;;
Corn Salad ;;;;;;;;;;x;;
Fenchel;;;;;x;x;x;x;x;x;x;
Spring Onions ;;;;;x;x;x;x;x;x;;
Grüne Bohnen;;;;;;;x;x;x;x;;
Kale;x;;;;;;;;;;x;x
Cucumber;;;;;x;x;x;x;x;x;;
Blueberries ;;;;;;x;x;x;x;x;;
Raspberries ;;;;;;x;x;x;;;;
Hokkaido ;;;;;;;;;x;x;x;x
Elderberry;;;;;x;x;x;;;x;;
Carrots;;;;;;x;x;x;x;x;;
Potato;;;;;;x;x;x;x;x;;
Cherry ;;;;;;x;x;x;x;;;
Kohlrabi;;;;x;x;x;x;x;x;x;;
corriander;;;;;x;x;x;x;x;x;;
silatrro;;;;;x;x;x;x;x;x;;
Pumpkin;;;;;;;;x;x;x;x;
Lollo Rosso ;;;;;;;;;;;;
Corn;;;;;;x;x;x;x;x;;
Marjoram;;;;;x;x;x;x;x;x;x;x
chard;;;;;x;x;x;x;x;x;;
Horseradish;;;;;;x;x;x;x;x;x;
Oregano;;;;;;;;;;;;
Paprika;;;;;;;x;x;x;x;;
Bell Pepper;;;;;;;;;;;;
Peppers;;;;;;;x;x;x;x;;
Parsnips;;;;;;;;;;x;;
Parsley;;;x;x;x;x;x;x;x;x;x;
Peach;;;;;x;x;x;x;;;;
Plums;;;;;;x;x;x;x;x;;
Radish;;;;;x;x;x;x;x;x;;
Rhubarb;;;x;x;x;x;x;;;;;
Rosemary;;;;;;;;x;x;x;x;
Bete;x;x;x;;;;;;x;x;x;x
red cabbage;x;x;x;;;;;;x;x;x;x
Arugula;;;;;;;;;;;;
Sage;x;x;x;x;x;x;x;x;x;x;x;x
Chives;;;;x;x;x;x;x;x;x;x;x
Black salsify;;;;;;;;;;x;;
Asparagus;;;x;x;x;x;;;;;;
Spinach;;;;x;x;x;x;x;x;x;;
Turnip;;;;;;;;;x;x;x;x
Topinabur ;;;;;;;;;;x;;
Grape;;;;;;;;x;x;x;x;
Savoy cabbage;x;x;x;;;;x;x;x;x;x;x
Zucchini;;;;;;x;x;x;x;;;
Onion ;x;x;x;x;x;;;x;x;x;x;x
Celeriac;x;x;x;;;;;;x;x;x;x
Pak Choi;;;;x;x;x;x;x;x;x;x;
Chanterelle;;;;;;;x;x;x;x;;
Leek;;;;;;;;x;x;x;x;x
Purslane;;;;;x;x;x;x;x;x;;
Romanesco;;;;;x;x;x;x;x;x;;
Brussels sprouts;x;;;;;;;;x;x;x;x
Shallot;;;;;;x;x;x;x;;;
Pointed Cabbage;;;;;x;x;x;x;x;x;;
Celery;;;;;;;x;x;x;x;;
Porcini mushroom;;;;;;;;x;x;x;;
Sweet Potato;x;x;x;x;x;x;x;x;x;x;x;x
Tomato;;;;;;;x;x;x;;;
White Cabbage;x;x;x;;;;;;x;x;x;x
Sugar Snap Pea ;;;;;x;x;;;;;;
Apricot;;;;;;x;x;x;x;;;
Rosehip;;;;;;;;x;x;x;x;x
Hazelnut;x;;;;;;;;x;x;x;x
Currant;;;;;;x;x;x;;;;
Chestnut;;;;;;;;;x;x;x;x
Maroon;;;;;;;;;x;x;x;x
Mulberry;;;;;;x;x;x;;;;
Mirabelle;;;;;;;x;x;x;x;;
Nectarine;;;;;;;x;x;x;;;
Gooseberry;;;;;;x;x;x;;;;
Plums;;;;;;;x;x;x;x;;
Orangen ;;;;;;;;;;;;
Zitronen ;;;;;;;;;;;;
Limetten ;;;;;;;;;;;;
etccc;;;;;;;;;;;;
